date,open,high,low,close,Volume
01.11.2018 00:00:00.000,1.13146,1.13306,1.13126,1.13279,11239.6396
01.11.2018 01:00:00.000,1.13282,1.13381,1.13258,1.13360,11056.3896
01.11.2018 02:00:00.000,1.13360,1.13432,1.13340,1.13408,7969.5801
01.11.2018 03:00:00.000,1.13407,1.13498,1.13400,1.13464,6700.27
01.11.2018 04:00:00.000,1.13463,1.13484,1.13421,1.13432,5893.04
01.11.2018 05:00:00.000,1.13432,1.13455,1.13377,1.13420,6966.8198
01.11.2018 06:00:00.000,1.13419,1.13524,1.13381,1.13499,9947.1504
01.11.2018 07:00:00.000,1.13498,1.13649,1.13474,1.13604,21286.1094
01.11.2018 08:00:00.000,1.13603,1.13811,1.13531,1.13781,15998.8398
01.11.2018 09:00:00.000,1.13781,1.13881,1.13726,1.13801,14776.3896
01.11.2018 10:00:00.000,1.13799,1.13831,1.13684,1.13720,15212.1299
01.11.2018 11:00:00.000,1.13720,1.14035,1.13710,1.13946,14509.3896
01.11.2018 12:00:00.000,1.13946,1.14042,1.13857,1.13874,17918.5293
01.11.2018 13:00:00.000,1.13873,1.13961,1.13850,1.13931,13448.75
01.11.2018 14:00:00.000,1.13936,1.14131,1.13929,1.14085,15452.21
01.11.2018 15:00:00.000,1.14086,1.14109,1.13943,1.13963,14925.2803
01.11.2018 16:00:00.000,1.13964,1.14099,1.13899,1.14074,11800.1699
01.11.2018 17:00:00.000,1.14074,1.14241,1.14055,1.14107,13278.6104
01.11.2018 18:00:00.000,1.14107,1.14167,1.14045,1.14085,8769.25
01.11.2018 19:00:00.000,1.14085,1.14134,1.14059,1.14104,7595.4702
01.11.2018 20:00:00.000,1.14104,1.14115,1.14064,1.14077,3986.0901
01.11.2018 21:00:00.000,1.14074,1.14130,1.13995,1.14024,3833.3101
01.11.2018 22:00:00.000,1.14026,1.14079,1.14015,1.14042,2142.79
01.11.2018 23:00:00.000,1.14044,1.14054,1.14020,1.14027,2000.4
02.11.2018 00:00:00.000,1.14028,1.14056,1.13996,1.14012,5815.6602
02.11.2018 01:00:00.000,1.14012,1.14014,1.13911,1.13931,5905.3398
02.11.2018 02:00:00.000,1.13931,1.13987,1.13921,1.13967,4957.4199
02.11.2018 03:00:00.000,1.13968,1.14021,1.13946,1.14001,5268.4199
02.11.2018 04:00:00.000,1.14002,1.14176,1.13982,1.14089,7914.5801
02.11.2018 05:00:00.000,1.14089,1.14282,1.14076,1.14243,11302.5498
02.11.2018 06:00:00.000,1.14243,1.14298,1.14175,1.14201,9070.2598
02.11.2018 07:00:00.000,1.14201,1.14430,1.14171,1.14373,15339.9297
02.11.2018 08:00:00.000,1.14372,1.14430,1.14300,1.14302,12953.25
02.11.2018 09:00:00.000,1.14301,1.14447,1.14237,1.14381,11746.9697
02.11.2018 10:00:00.000,1.14381,1.14498,1.14350,1.14493,11001.5
02.11.2018 11:00:00.000,1.14494,1.14557,1.14435,1.14455,10125.0996
02.11.2018 12:00:00.000,1.14454,1.14504,1.14107,1.14172,17229.3906
02.11.2018 13:00:00.000,1.14171,1.14232,1.14051,1.14174,17469.1309
02.11.2018 14:00:00.000,1.14174,1.14311,1.14161,1.14192,16038.1602
02.11.2018 15:00:00.000,1.14192,1.14193,1.13735,1.13779,18722.5
02.11.2018 16:00:00.000,1.13777,1.13859,1.13722,1.13857,14331.3604
02.11.2018 17:00:00.000,1.13856,1.13862,1.13756,1.13830,10899.54
02.11.2018 18:00:00.000,1.13827,1.13890,1.13787,1.13851,10201.2305
02.11.2018 19:00:00.000,1.13853,1.14003,1.13850,1.13951,10982.7998
02.11.2018 20:00:00.000,1.13951,1.13969,1.13858,1.13860,4534.1602
02.11.2018 21:00:00.000,1.13860,1.13860,1.13860,1.13860,0
02.11.2018 22:00:00.000,1.13860,1.13860,1.13860,1.13860,0
02.11.2018 23:00:00.000,1.13860,1.13860,1.13860,1.13860,0
03.11.2018 00:00:00.000,1.13860,1.13860,1.13860,1.13860,0
03.11.2018 01:00:00.000,1.13860,1.13860,1.13860,1.13860,0
03.11.2018 02:00:00.000,1.13860,1.13860,1.13860,1.13860,0
03.11.2018 03:00:00.000,1.13860,1.13860,1.13860,1.13860,0
03.11.2018 04:00:00.000,1.13860,1.13860,1.13860,1.13860,0
03.11.2018 05:00:00.000,1.13860,1.13860,1.13860,1.13860,0
03.11.2018 06:00:00.000,1.13860,1.13860,1.13860,1.13860,0
03.11.2018 07:00:00.000,1.13860,1.13860,1.13860,1.13860,0
03.11.2018 08:00:00.000,1.13860,1.13860,1.13860,1.13860,0
03.11.2018 09:00:00.000,1.13860,1.13860,1.13860,1.13860,0
03.11.2018 10:00:00.000,1.13860,1.13860,1.13860,1.13860,0
03.11.2018 11:00:00.000,1.13860,1.13860,1.13860,1.13860,0
03.11.2018 12:00:00.000,1.13860,1.13860,1.13860,1.13860,0
03.11.2018 13:00:00.000,1.13860,1.13860,1.13860,1.13860,0
03.11.2018 14:00:00.000,1.13860,1.13860,1.13860,1.13860,0
03.11.2018 15:00:00.000,1.13860,1.13860,1.13860,1.13860,0
03.11.2018 16:00:00.000,1.13860,1.13860,1.13860,1.13860,0
03.11.2018 17:00:00.000,1.13860,1.13860,1.13860,1.13860,0
03.11.2018 18:00:00.000,1.13860,1.13860,1.13860,1.13860,0
03.11.2018 19:00:00.000,1.13860,1.13860,1.13860,1.13860,0
03.11.2018 20:00:00.000,1.13860,1.13860,1.13860,1.13860,0
03.11.2018 21:00:00.000,1.13860,1.13860,1.13860,1.13860,0
03.11.2018 22:00:00.000,1.13860,1.13860,1.13860,1.13860,0
03.11.2018 23:00:00.000,1.13860,1.13860,1.13860,1.13860,0
04.11.2018 00:00:00.000,1.13860,1.13860,1.13860,1.13860,0
04.11.2018 01:00:00.000,1.13860,1.13860,1.13860,1.13860,0
04.11.2018 02:00:00.000,1.13860,1.13860,1.13860,1.13860,0
04.11.2018 03:00:00.000,1.13860,1.13860,1.13860,1.13860,0
04.11.2018 04:00:00.000,1.13860,1.13860,1.13860,1.13860,0
04.11.2018 05:00:00.000,1.13860,1.13860,1.13860,1.13860,0
04.11.2018 06:00:00.000,1.13860,1.13860,1.13860,1.13860,0
04.11.2018 07:00:00.000,1.13860,1.13860,1.13860,1.13860,0
04.11.2018 08:00:00.000,1.13860,1.13860,1.13860,1.13860,0
04.11.2018 09:00:00.000,1.13860,1.13860,1.13860,1.13860,0
04.11.2018 10:00:00.000,1.13860,1.13860,1.13860,1.13860,0
04.11.2018 11:00:00.000,1.13860,1.13860,1.13860,1.13860,0
04.11.2018 12:00:00.000,1.13860,1.13860,1.13860,1.13860,0
04.11.2018 13:00:00.000,1.13860,1.13860,1.13860,1.13860,0
04.11.2018 14:00:00.000,1.13860,1.13860,1.13860,1.13860,0
04.11.2018 15:00:00.000,1.13860,1.13860,1.13860,1.13860,0
04.11.2018 16:00:00.000,1.13860,1.13860,1.13860,1.13860,0
04.11.2018 17:00:00.000,1.13860,1.13860,1.13860,1.13860,0
04.11.2018 18:00:00.000,1.13860,1.13860,1.13860,1.13860,0
04.11.2018 19:00:00.000,1.13860,1.13860,1.13860,1.13860,0
04.11.2018 20:00:00.000,1.13860,1.13860,1.13860,1.13860,0
04.11.2018 21:00:00.000,1.13860,1.13860,1.13860,1.13860,0
04.11.2018 22:00:00.000,1.13863,1.13963,1.13862,1.13909,7428.0098
04.11.2018 23:00:00.000,1.13908,1.13993,1.13908,1.13976,3565.5801
05.11.2018 00:00:00.000,1.13975,1.13978,1.13930,1.13954,5035.6602
05.11.2018 01:00:00.000,1.13954,1.13955,1.13848,1.13891,6185.1099
05.11.2018 02:00:00.000,1.13892,1.13923,1.13836,1.13842,6834.29
05.11.2018 03:00:00.000,1.13842,1.13877,1.13827,1.13832,5318.3799
05.11.2018 04:00:00.000,1.13832,1.13876,1.13829,1.13846,4666.6699
05.11.2018 05:00:00.000,1.13846,1.13915,1.13838,1.13899,5556.2202
05.11.2018 06:00:00.000,1.13900,1.13970,1.13881,1.13884,8006.8999
05.11.2018 07:00:00.000,1.13885,1.13987,1.13775,1.13816,10276.1396
05.11.2018 08:00:00.000,1.13819,1.13945,1.13788,1.13814,10779.4502
05.11.2018 09:00:00.000,1.13814,1.13857,1.13745,1.13814,10516.7695
05.11.2018 10:00:00.000,1.13814,1.13877,1.13767,1.13835,10894.8496
